1024,Active,gleleu,Gabriel,Leleu,M,gabriel.leleu@novaryn-tech.com,2016-12-03,1224,1148,LEAD-FULL-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1025,Terminated,arey,Audrey,Rey,F,audrey.rey@novaryn-tech.com,2013-09-19,1038,1148,LEAD-DATA-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1026,Active,llopes,Laurent,Lopes,M,laurent.lopes@novaryn-tech.com,2019-09-18,1202,1060,CTRL-FIN,Finance & Administration,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1027,Terminated,tmarchal,Timothée,Marchal,M,timothee.marchal@novaryn-tech.com,2014-10-07,1116,1134,CONF-CONT-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1028,Terminated,mmonnier,Michèle,Monnier,F,michele.monnier@novaryn-tech.com,2015-07-25,1154,1064,LEAD-SMGR-SALES,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1029,Terminated,jboutin,Juliette,Boutin,F,juliette.boutin@novaryn-tech.com,2023-08-18,1146,1167,UX-PROD,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1030,Active,tguerin,Tristan,Guérin,M,tristan.guerin@novaryn-tech.com,2022-05-13,1158,1142,SR-BRAND-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1031,Active,tpicard,Timothée,Picard,M,timothee.picard@novaryn-tech.com,2021-02-01,1061,1242,GROWTH-MKT,Commercial,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1032,Active,jgoncalves,Jacqueline,Goncalves,F,jacqueline.goncalves@novaryn-tech.com,2019-11-12,1218,1108,CONF-BRAND-MKT,Commercial,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1033,Active,mdupuy,Monique,Dupuy,F,monique.dupuy@novaryn-tech.com,2022-11-20,1185,1065,SR-FA-FIN,Finance & Administration,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1034,Active,rvasseur,Roger,Vasseur,M,roger.vasseur@novaryn-tech.com,2023-08-25,1235,1134,INFRA-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1035,Active,ilecoq,Isaac,Lecoq,M,isaac.lecoq@novaryn-tech.com,2025-03-14,1171,1134,SR-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1036,Active,arolland,Antoine,Rolland,M,antoine.rolland@novaryn-tech.com,2025-12-24,1146,1065,PM-PROD,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1037,Active,agomes,Alfred,Gomes,M,alfred.gomes@novaryn-tech.com,2018-10-28,1002,1161,SR-GROWTH-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1038,Active,jfrancois,Juliette,François,F,juliette.francois@novaryn-tech.com,2015-08-04,1160,1043,LEAD-SECU-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1039,Inactive,rwagner,Roland,Wagner,M,roland.wagner@novaryn-tech.com,2017-05-09,1055,1142,LEAD-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1040,Terminated,fbegue,Franck,Bègue,M,franck.begue@novaryn-tech.com,2020-06-29,1215,1108,CONF-DATA-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1041,Terminated,lweiss,Louis,Weiss,M,louis.weiss@novaryn-tech.com,2019-10-22,1061,1175,SR-PMM-MKT,Commercial,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1042,Active,caubry,Claire,Aubry,F,claire.aubry@novaryn-tech.com,2014-05-17,1048,1142,LEAD-CONT-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1043,Active,jvallet,Jeanne,Vallet,F,jeanne.vallet@novaryn-tech.com,2021-07-20,1205,1060,LEAD-HRBP-HR,People & Culture,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1044,Active,rcharles,René,Charles,M,rene.charles@novaryn-tech.com,2024-09-15,1038,1148,CONF-FRONT-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1045,Terminated,sgilbert,Stéphane,Gilbert,M,stephane.gilbert@novaryn-tech.com,2021-12-04,1111,1065,LEAD-CONT-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1046,Inactive,netienne,Noémi,Étienne,F,noemi.etienne@novaryn-tech.com,2015-09-24,1220,1048,LEAD-QA-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1047,Leave,cgregoire,Christine,Grégoire,F,christine.gregoire@novaryn-tech.com,2020-05-24,1042,1172,CONF-PMM-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1048,Active,bfaivre,Bernadette,Faivre,F,bernadette.faivre@novaryn-tech.com,2012-10-19,1004,1134,SR-PAYROLL-OP,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1049,Active,cbrunet,Cécile,Brunet,F,cecile.brunet@novaryn-tech.com,2022-09-03,1086,1108,CONF-QA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1050,Active,ebazin,Édouard,Bazin,M,edouard.bazin@novaryn-tech.com,2019-03-08,1014,1148,LEAD-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1051,Active,tandre,Théophile,Andre,M,theophile.andre@novaryn-tech.com,2018-07-18,1102,1060,SR-PO-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1052,Active,mgodard,Monique,Godard,F,monique.godard@novaryn-tech.com,2019-12-18,1171,1003,SR-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1053,Active,jlenoir,Jeannine,Lenoir,F,jeannine.lenoir@novaryn-tech.com,2012-03-12,1011,1161,LEAD-DEVOPS-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1054,Active,zmace,Zacharie,Mace,M,zacharie.mace@novaryn-tech.com,2013-12-12,1118,1167,LEAD-UX-PROD,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1055,Active,jlecoq,Juliette,Lecoq,F,juliette.lecoq@novaryn-tech.com,2022-11-26,1051,1167,SR-INFRA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1056,Active,jmarie,Jean,Marie,M,jean.marie@novaryn-tech.com,2016-12-28,1124,1161,SR-DATA-SCI,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1057,Active,mbarbier,Martin,Barbier,M,martin.barbier@novaryn-tech.com,2019-09-20,1112,1242,CONF-AM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1058,Active,amace,Adrien,Mace,M,adrien.mace@novaryn-tech.com,2024-03-29,1226,1060,CONF-AM-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1059,Inactive,gcharrier,Gilles,Charrier,M,gilles.charrier@novaryn-tech.com,2024-12-17,1219,1108,LEAD-FA-FIN,Finance & Administration,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1060,Active,eguillou,Emmanuel,Guillou,M,emmanuel.guillou@novaryn-tech.com,2013-10-23,1078,1175,HRBP-HR,People & Culture,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1061,Active,lriou,Lucy,Riou,F,lucy.riou@novaryn-tech.com,2020-08-20,1071,1043,LEAD-BRAND-MKT,Commercial,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1062,Active,ebrunet,Élodie,Brunet,F,elodie.brunet@novaryn-tech.com,2018-05-12,1110,1003,CONF-BACK-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1063,Active,egimenez,Édouard,Gimenez,M,edouard.gimenez@novaryn-tech.com,2025-03-31,1085,1114,LEAD-PM-PROD,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1064,Active,ajoseph,Adélaïde,Joseph,F,adelaide.joseph@novaryn-tech.com,2017-07-07,1060,1048,SR-HRBP-HR,People & Culture,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1065,Active,pmoreau,Patrick,Moreau,M,patrick.moreau@novaryn-tech.com,2013-11-26,1126,1104,LEAD-TA-HR,People & Culture,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1066,Active,mlegall,Maryse,Le Gall,F,maryse.legall@novaryn-tech.com,2016-01-27,,1065,CSO,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1067,Active,aguillot,Andrée,Guillot,F,andree.guillot@novaryn-tech.com,2021-08-26,1075,1242,SR-UX-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1068,Active,aclement,Audrey,Clément,F,audrey.clement@novaryn-tech.com,2024-06-13,1016,1142,CONF-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1069,Active,vmuller,Véronique,Muller,F,veronique.muller@novaryn-tech.com,2024-12-09,1185,1175,DEVOPS-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1070,Active,rgosselin,René,Gosselin,M,rene.gosselin@novaryn-tech.com,2014-02-20,1005,1167,CONF-ADMIN-OP,Finance & Administration,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1071,Active,cdelmas,Christophe,Delmas,M,christophe.delmas@novaryn-tech.com,2020-02-01,1244,1065,LEAD-DATA-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1072,Active,rgaillard,Robert,Gaillard,M,robert.gaillard@novaryn-tech.com,2016-07-05,1207,1065,LEAD-ML-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1073,Active,rseguin,Rémy,Seguin,M,remy.seguin@novaryn-tech.com,2019-03-14,1072,1060,CONF-FRONT-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1074,Active,fgimenez,Franck,Gimenez,M,franck.gimenez@novaryn-tech.com,2024-11-06,1130,1104,CSM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1075,Active,edelannoy,Eugène,Delannoy,M,eugene.delannoy@novaryn-tech.com,2017-04-20,1070,1167,CONF-PM-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1076,Inactive,lleconte,Luc,Leconte,M,luc.leconte@novaryn-tech.com,2023-01-21,1137,1134,CONF-CONT-MKT,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1077,Active,mnavarro,Michelle,Navarro,F,michelle.navarro@novaryn-tech.com,2020-10-21,1106,1108,LEAD-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1078,Active,mmathieu,Maurice,Mathieu,M,maurice.mathieu@novaryn-tech.com,2016-03-20,1060,1043,LEAD-QA-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1079,Active,fandre,Frédéric,Andre,M,frederic.andre@novaryn-tech.com,2017-10-01,1207,1242,LEAD-DEVOPS-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1080,Active,apruvost,Alain,Pruvost,M,alain.pruvost@novaryn-tech.com,2021-06-03,1194,1064,CONF-DATA-SCI,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1081,Leave,gpruvost,Gabriel,Pruvost,M,gabriel.pruvost@novaryn-tech.com,2015-09-30,1011,1148,LEAD-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1082,Active,aguerin,Adrien,Guérin,M,adrien.guerin@novaryn-tech.com,2024-01-16,1020,1167,CONF-PM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1083,Leave,arolland1,Anne,Rolland,F,anne.rolland@novaryn-tech.com,2013-02-22,1060,1134,LEAD-AM-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1084,Inactive,aremy,Alexandria,Rémy,F,alexandria.remy@novaryn-tech.com,2013-03-16,1241,1175,LEAD-CTRL-FIN,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1085,Active,pgomez,Pierre,Gomez,M,pierre.gomez@novaryn-tech.com,2016-09-26,1033,1060,LEAD-SECU-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1086,Leave,vbenoit,Véronique,Benoit,F,veronique.benoit@novaryn-tech.com,2021-03-04,1008,1104,LEAD-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1087,Active,cramos,Christophe,Ramos,M,christophe.ramos@novaryn-tech.com,2021-09-18,1038,1134,CONF-QA-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1088,Terminated,sreynaud,Sébastien,Reynaud,M,sebastien.reynaud@novaryn-tech.com,2016-02-18,1032,1175,LEAD-ML-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1089,Terminated,tcordier,Thérèse,Cordier,F,therese.cordier@novaryn-tech.com,2015-03-29,1054,1134,SR-BACK-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1090,Active,bpereira,Benoît,Pereira,M,benoit.pereira@novaryn-tech.com,2023-03-18,1203,1175,FRONT-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1091,Active,mmonnier1,Martin,Monnier,M,martin.monnier@novaryn-tech.com,2019-03-17,1153,1114,SR-PO-PROD,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1092,Active,lbigot,Lucas,Bigot,M,lucas.bigot@novaryn-tech.com,2024-05-27,1072,1242,LEAD-FULL-ENG,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1093,Active,amaillet,Anastasie,Maillet,F,anastasie.maillet@novaryn-tech.com,2023-02-12,1133,1065,LEAD-AM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1094,Active,tperrin,Tristan,Perrin,M,tristan.perrin@novaryn-tech.com,2013-01-11,1202,1161,SR-PM-PROD,Technology,Novaryn Tech - Lille,Lille,Hauts-de-France,59000,France
1095,Active,opetitjean,Océane,Petitjean,F,oceane.petitjean@novaryn-tech.com,2017-10-09,1128,1065,SR-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1096,Active,cmenard,Catherine,Menard,F,catherine.menard@novaryn-tech.com,2015-04-05,1118,1043,LEAD-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1097,Active,eregnier,Élisabeth,Regnier,F,elisabeth.regnier@novaryn-tech.com,2019-08-19,1098,1172,LEAD-QA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1098,Active,dbriand,Daniel,Briand,M,daniel.briand@novaryn-tech.com,2015-02-14,1158,1114,SR-DATA-SCI,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1099,Active,lpinto,Laurence,Pinto,F,laurence.pinto@novaryn-tech.com,2016-04-01,1081,1114,LEAD-UX-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1100,Active,apichon,Auguste,Pichon,M,auguste.pichon@novaryn-tech.com,2025-09-29,1078,1064,ML-ENG,Technology,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1101,Active,rperrin,Robert,Perrin,M,robert.perrin@novaryn-tech.com,2012-11-10,1245,1060,SR-ADMIN-OP,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1102,Active,vgimenez,Victor,Gimenez,M,victor.gimenez@novaryn-tech.com,2012-04-01,1016,1148,LEAD-PM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1103,Leave,bchretien,Bernadette,Chrétien,F,bernadette.chretien@novaryn-tech.com,2016-01-08,1157,1167,LEAD-PRE-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1104,Active,ecordier,Émile,Cordier,M,emile.cordier@novaryn-tech.com,2020-04-05,1232,1114,TA-HR,People & Culture,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1105,Active,obenoit,Olivier,Benoit,M,olivier.benoit@novaryn-tech.com,2018-10-27,1186,1043,SR-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1106,Active,agaillard,Anne,Gaillard,F,anne.gaillard@novaryn-tech.com,2018-06-12,1135,1232,SR-SMGR-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1107,Active,aperrier,Adélaïde,Perrier,F,adelaide.perrier@novaryn-tech.com,2016-07-05,1110,1242,LEAD-QA-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1108,Leave,srenault,Susanne,Renault,F,susanne.renault@novaryn-tech.com,2019-03-13,1235,1114,SR-HRBP-HR,People & Culture,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1109,Terminated,rpeltier,Roger,Peltier,M,roger.peltier@novaryn-tech.com,2024-03-22,1238,1134,LEAD-SECU-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1110,Active,pmeyer,Patrick,Meyer,M,patrick.meyer@novaryn-tech.com,2015-03-25,1018,1161,CONF-DATA-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1111,Active,lcarpentier,Lucie,Carpentier,F,lucie.carpentier@novaryn-tech.com,2012-12-29,1009,1232,LEAD-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1112,Active,aletellier,Anne,Letellier,F,anne.letellier@novaryn-tech.com,2017-05-02,1194,1232,SR-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1113,Terminated,agirard,Antoine,Girard,M,antoine.girard@novaryn-tech.com,2021-12-08,1108,1060,CONF-TA-HR,People & Culture,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1114,Active,ogaudin,Olivier,Gaudin,M,olivier.gaudin@novaryn-tech.com,2021-01-13,1108,1065,TA-HR,People & Culture,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1115,Active,eboyer,Édouard,Boyer,M,edouard.boyer@novaryn-tech.com,2020-08-21,1099,1104,SR-SCRM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1116,Active,alemoine,Audrey,Lemoine,F,audrey.lemoine@novaryn-tech.com,2013-03-01,1055,1064,LEAD-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1117,Active,tmercier,Théophile,Mercier,M,theophile.mercier@novaryn-tech.com,2023-06-27,1020,1167,PM-PROD,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1118,Active,gantoine,Georges,Antoine,M,georges.antoine@novaryn-tech.com,2014-01-14,1018,1167,LEAD-PM-PROD,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1119,Active,rhoarau,Roland,Hoarau,M,roland.hoarau@novaryn-tech.com,2021-11-06,1057,1064,LEAD-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1120,Inactive,alegendre,Alice,Legendre,F,alice.legendre@novaryn-tech.com,2013-05-24,1213,1114,CONF-DATA-SCI,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1121,Leave,pdescamps,Paulette,Descamps,F,paulette.descamps@novaryn-tech.com,2021-12-05,1086,1048,SR-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1122,Active,rbarbe,Roland,Barbe,M,roland.barbe@novaryn-tech.com,2017-05-19,1061,1161,LEAD-GROWTH-MKT,Commercial,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1123,Active,jmartins,Josette,Martins,F,josette.martins@novaryn-tech.com,2023-05-24,1244,1161,BACK-ENG,Technology,Novaryn Tech - Bordeaux,Bordeaux,Nouvelle-Aquitaine,33000,France
1124,Active,hdupuis,Hugues,Dupuis,M,hugues.dupuis@novaryn-tech.com,2016-07-08,1144,1142,LEAD-CSM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1125,Active,lpayet,Louis,Payet,M,louis.payet@novaryn-tech.com,2023-06-05,1037,1232,CONT-MKT,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1126,Active,tribeiro,Tristan,Ribeiro,M,tristan.ribeiro@novaryn-tech.com,2019-10-12,1129,1003,CTRL-FIN,Finance & Administration,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1127,Active,hhamel,Hugues,Hamel,M,hugues.hamel@novaryn-tech.com,2013-03-26,1229,1232,LEAD-FULL-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1128,Active,aalbert,Aimé,Albert,M,aime.albert@novaryn-tech.com,2022-07-26,,1060,CFO,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1129,Inactive,rroussel,Roland,Roussel,M,roland.roussel@novaryn-tech.com,2013-03-31,1140,1064,LEAD-ADMIN-OP,Finance & Administration,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1130,Active,rbenoit,René,Benoit,M,rene.benoit@novaryn-tech.com,2020-08-09,1066,1060,CONF-AM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1131,Active,jpayet,Julie,Payet,F,julie.payet@novaryn-tech.com,2017-12-08,1030,1060,SR-FRONT-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1132,Active,amoulin,Arthur,Moulin,M,arthur.moulin@novaryn-tech.com,2018-04-15,1110,1242,BACK-ENG,Technology,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1133,Active,gbarbier,Guy,Barbier,M,guy.barbier@novaryn-tech.com,2019-06-15,1119,1167,LEAD-INFRA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1134,Active,mraymond,Madeleine,Raymond,F,madeleine.raymond@novaryn-tech.com,2025-09-24,1064,1167,CONF-TA-HR,People & Culture,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
